En person eller en grupp utsätts för rasism	English_Translation	Process	Societal Construction	Differentiation	Hierarchization	Material Consequences	Process_Swedish	Societal Construction_Swedish	Differentiation_Swedish	Hierarchization_Swedish	Material Consequences_Swedish
Aggression	Aggression	0	0	0	0	0	0	0	0	0	0
Använder inte det ordet 	Translation not available	0	0	0	0	0	0	0	0	0	0
Är osäker på betydelsen, men är det indelningen man gör för genetisk/kulturellt ursprung? 	Translation not available	0	0	0	0	0	0	0	0	0	0
Att behndla någon annorlunda för sin ras 	Translation not available	0	0	0	0	0	0	0	7	0	0
Att bestämma ras på människor. Ofta använt för diskriminering	Translation not available	0	0	0	0	0	0	0	7	0	0
Att dämma pga hudfärg etnicitet 	Translation not available	0	0	0	0	0	0	0	7	0	0
Att dela in människor utefter fenotyp	Translation not available	0	0	0	0	0	0	0	0	0	0
Att dela in människor utifrån deras hudfärg och ge de olika värderingar, stereotyper	Translation not available	0	0	0	0	0	0	0	7	0	0
Att dela upp människor beroende på hur de ser ut 	Translation not available	0	0	0	0	0	0	0	0	0	0
Att dela upp och särbehandla personer baserat på hudfärg	Translation not available	0	0	0	0	0	5	0	7	0	0
Att det är möjligt att förändra	Translation not available	0	0	0	0	0	0	0	0	0	0
Att du dömmer någon baserat på utseende som är förknippated ett visst ursprung	Translation not available	0	0	0	0	0	0	0	0	0	0
Att ens utseende framkallar tankar på ett eller annat sätt om beteende	Translation not available	0	0	0	0	0	0	0	0	0	0
Att försöka problematisera ett problem till en grupp istället för att se individer och system.	Translation not available	0	0	0	0	0	5	0	0	0	0
Att förvänta sig vissa saker.fördomar.ta avstånd.	Translation not available	0	0	0	0	0	0	0	0	0	0
Att göra åtskillnad mellan människor på grund av en uppfattning om att vissa skulle vara mer eller mindre värda utifrån deras hudfärg	Translation not available	0	0	0	0	0	0	0	7	0	0
Att göra onödig skillnad på människor 	Translation not available	0	0	0	0	0	0	0	0	0	0
Att ha fördömer om nån pga hudfärg	Translation not available	0	0	0	0	0	0	0	7	0	0
Att indela människor i grupper baserat på etnicitet	Translation not available	0	0	0	0	0	5	0	0	0	0
att indivder blir dömda utifrån enicitet, kultur och religion 	Translation not available	0	0	0	0	0	0	0	0	0	0
Att kategorisera folk utefter hudfärg, etnicitet etc	Translation not available	0	0	0	0	0	0	0	7	0	0
Att kategorisera folk utifrån hudfärg. 	Translation not available	0	0	0	0	0	0	0	7	0	0
Att man antar att någon har en viss etnicitet och lägger värderingar i det 	Translation not available	0	0	0	0	0	0	0	0	0	0
Att man av utomstående blir profilerad som icke-tillhörande, så även vita (som samer) kan bli rasifierade enligt mig	Translation not available	0	0	0	0	0	0	0	7	0	0
Att man behandlar folk olika beroende på hudfärg/etnicitet	Translation not available	0	0	0	0	0	0	0	7	0	0
Att man behandlar personer olika beroende på deras härkomst/hudfärg 	Translation not available	0	0	0	0	0	5	0	7	0	0
Att man bemöter folk olika 	Translation not available	0	0	0	0	0	0	0	0	0	0
Att man definieras beroende på som hudfärg	Translation not available	0	0	0	0	0	0	0	7	0	0
att man delar in folk i grupper beroende på hur dom ser ut eller kommer ifrån	Translation not available	0	0	0	0	0	5	0	0	0	0
Att man delar in folk i grupper, baserat på etnicitet	Translation not available	0	0	0	0	0	5	0	0	0	0
Att man delar in folk i olika raser	Translation not available	0	0	0	0	0	0	0	7	0	0
Att man delar upp människor i olika raser	Translation not available	0	0	0	0	0	0	0	7	0	0
Att man delar upp människor som â€viâ€ och â€domâ€ och behandlar människor olika beroende på hudfärg, etnicitet	Translation not available	0	0	0	0	0	0	0	7	0	0
Att man delar upp personer i grupper	Translation not available	0	0	0	0	0	5	0	0	0	0
Att man diskiminerar människor pågrund av deras hudfärg och etnicitet	Translation not available	0	0	0	0	0	0	0	7	0	0
Att man diskriminerar folk pga av deras hudfärg och etnicitet	Translation not available	0	0	0	0	0	0	0	7	8	7
"Att man genom att kategorisering av människor utifrån hudfärg, hårstruktur och allmänt utseende för att placera in dem i olika ""fack"" i samhället."	Translation not available	0	0	0	0	0	0	0	7	0	0
att man grupperar människor efter vissa kriterier 	Translation not available	0	0	0	0	0	5	0	0	0	0
Att man har förutfattade meningar kring någons ursprunf	Translation not available	0	0	0	0	0	0	0	0	0	0
Att man kategoriserar människor utifrån hur man ser ut 	Translation not available	0	0	0	0	0	0	0	0	0	0
Att man katigoriswrar och ger vissa etiker på vad folk kan o inte kan beroende på var de kommer ifrån 	Translation not available	0	0	0	0	0	0	0	0	0	0
"Att man klassificerar folk efter ""ras"""	Translation not available	0	0	0	0	0	0	0	7	0	0
Att man klassifierar ngn som en viss ras. Med ras menas här ras i amerikansk betydelse, snarare än ngt rasbiologiskt	Translation not available	0	0	0	0	0	0	0	7	0	0
Att man lägger vikt och fokus på ras(överdrivet mycket ibland) 	Translation not available	0	0	0	0	0	0	0	7	0	0
Att man placerar en person i en viss box utifrån vad man ser på utseendet istället för att veta vad och hur personen agerar 	Translation not available	0	0	0	0	0	5	0	0	0	0
Att man placeras i fack beroende på sitt utseende 	Translation not available	0	0	0	0	0	0	0	7	0	0
Att man skiktar folk i olika grupper pga etnicitet	Translation not available	0	0	0	0	0	5	0	0	0	0
"Att man slänger ihop människor med diverse kulturer och språk i en grupp som ""vit"" eller ""svart"""	Translation not available	0	0	0	0	0	5	0	0	0	0
Att man tillskriver en person särskilda egenskaper och personlighetsdrag baserat på vart personen kommer ifrån. Ofta baserat på stereotyper och fördomar.	Translation not available	0	0	0	0	0	5	0	0	0	0
Att människor behandlar annorlunda jämfört med en annan på grund av hudfärg	Translation not available	0	0	0	0	0	0	0	7	0	0
Att människor bemöts olika utifrån hudfärg, utseende och ursprung. Detta kan ske på ett såväl strukturellt som individuellt plan. En vit person anses ha ett högre värde och åtnjuta fler privilegier jämfört med t.ex. en svart person. 	Translation not available	0	0	0	0	0	5	0	7	0	0
Att människor blir orättvist behandlade pga sitt ursprung. 	Translation not available	0	0	0	0	0	0	0	0	0	0
Att månniskor delas in i fack 	Translation not available	0	0	0	0	0	0	0	0	0	0
Att människor erfarer saker på ett särkilt sätt pga hur andra ser på dem pga deras etnicitet (är detta cirkulär?)	Translation not available	0	0	0	0	0	0	0	7	0	0
Att människor som inte är majoritetsbefolkning i ett land blir orättvist behandlade pga deras etnicitet	Translation not available	0	0	0	0	0	0	0	7	0	0
att överbetona rasens betydelse, dvs koppla drag till ras	Translation not available	0	0	0	0	0	0	0	7	0	0
Att personer som inte ser ut som mig (vit) behandlas på ett annat sätt i samhället	Translation not available	0	0	0	0	0	5	0	0	0	0
Att samhället placerar människor i socialt konstruerade grupper/raser utifrån ursprung, hudfärg, kultur, språk etc	Translation not available	0	0	0	0	0	5	0	7	0	0
"Att särskilja olika ""raser"" från varandra"	Translation not available	0	0	0	0	0	0	0	7	0	0
Att se människor söm olika 	Translation not available	0	0	0	0	0	0	0	0	0	0
Att skilja folk från sin hudfärg 	Translation not available	0	0	0	0	0	0	0	7	0	0
Att skilja på människor 	Translation not available	0	0	0	0	0	0	0	0	0	0
Att tycka ty någon är sämre för deras hudfärg 	Translation not available	0	0	0	0	0	0	0	7	0	0
Att understryka effekterna av att inte tillhöra majoritetsbefolkningen. 	Translation not available	0	0	0	0	0	0	0	0	0	0
Att vi tillskriver människor egenskaper pga utseendet 	Translation not available	0	0	0	0	0	0	0	0	0	0
Bemötande utifrån etnicitet 	Translation not available	0	0	0	0	0	0	0	0	0	0
Classificiera personer beroende på var de är från	Translation not available	0	0	0	0	0	5	0	0	0	0
dålig	Translation not available	0	0	0	0	0	0	0	0	0	0
Dåligt	Translation not available	0	0	0	0	0	0	0	0	0	0
De attribut som tillskrivs personer med annan etnicitet eller hudfärg än svensk	Translation not available	0	0	0	0	0	5	0	7	0	0
De som av omgivningen (och av sig själva?)uppfattas som icke-vita. 	Translation not available	0	0	0	0	0	0	0	0	0	0
Dela folk inom racer, inte bra!!	Translation not available	0	0	0	0	0	0	0	0	0	0
Dela in människor efter etnicitet	Translation not available	0	0	0	0	0	0	0	0	0	0
Dela in människor i â€raserâ€ utåtriktad hursfärg	Translation not available	0	0	0	0	0	0	0	7	0	0
Dela in människor i etnicitet	Translation not available	0	0	0	0	0	0	0	0	0	0
Dela in människor i rader 	Translation not available	0	0	0	0	0	0	0	0	0	0
Dela upp folk i olika grupper	Translation not available	0	0	0	0	0	5	0	0	0	0
Delar in folk på grund av hudfärg, och utseende 	Translation not available	0	0	0	0	0	0	0	7	0	0
Delar in människor utifrån utseende och språk	Translation not available	0	0	0	0	0	0	0	0	0	0
Delar upp olika etniska grupper i raser och tillskriver dem egenskaper utifrån föreställningar om deras hudfärg eller kultur.	Translation not available	0	0	0	0	0	5	0	7	0	0
det är en politisk process där rasidentiteter tillskrivs en grupp som inte identifierade sig som sådan	Translation not available	0	0	0	0	0	5	0	7	0	0
Det ni försöker få mig att göra, dvs ranka hudfärg mot tillhörighet.	Translation not available	0	0	0	0	0	0	0	7	0	0
Det som det innebär	Translation not available	0	0	0	0	0	0	0	0	0	0
Diskriminering 	Translation not available	0	0	0	0	0	0	0	0	0	0
Diskriminering 	Translation not available	0	0	0	0	0	0	0	0	0	0
diskriminering på grund av etnicitet eller att man får sin etnicitet utpekad i irrelevanta sotuationer	Translation not available	0	0	0	0	0	0	0	0	0	0
Distinguis ppl based on akin color	Translation not available	0	0	0	0	0	0	0	0	0	0
En diskriminering mot icke vita	Translation not available	0	0	0	0	0	0	0	0	0	0
En ofrivillig inkludering av ens etnicitet	Translation not available	0	0	0	0	0	0	0	0	0	0
En process någon utsätts för, att de tilldelas en ras med olika egenskaper 	Translation not available	0	0	0	0	0	0	0	7	0	0
En totalt meninglös sätt att kalssa in människor	Translation not available	0	0	0	0	0	0	0	0	0	0
En uppdelning/klassificering  av olika etniciteter. 	Translation not available	0	0	0	0	0	0	0	0	0	0
En utomeuropeisk klassificering, person  som är född i ett annat land	Translation not available	0	0	0	0	0	5	0	0	0	0
Etnicitet	Translation not available	0	0	0	0	0	0	0	0	0	0
Ett mer pk-ord att beskriva andra med annan etnocitet	Translation not available	0	0	0	0	0	0	0	0	0	0
Ett sätt att dela upp oss människor i våra olika drag. Till största del hudfärg men i många fall även andra drag som exempelvis form på näsa, ögon och mun	Translation not available	0	0	0	0	0	0	0	7	0	0
Ett systematiskt sätt att underminera människor 	Translation not available	0	0	0	0	0	0	0	0	0	0
Får mig att tänka på WW2	Translation not available	0	0	0	0	0	0	0	0	0	0
Folk som kan bli rasistiskt behandlade	Translation not available	0	0	0	0	0	0	0	7	0	0
Folk som ser ut som mig blir behandlade på annat sätt pga vår hudfärg 	Translation not available	0	0	0	0	0	0	0	7	0	0
Folkgrupper som vi har onödigt kategoriserat beroende på olika fysiska drag	Translation not available	0	0	0	0	0	5	0	0	0	0
"För mig är det en process där individer blir placerade i kategorier utifrån deras utseende och får vissa förmågor, erfarenheter och kunskapar automatiskt kopplade till dem på grund av ""rasen"" de tillhör."	Translation not available	0	0	0	0	0	0	0	7	0	0
Fördomar, rasism, offermentalitet	Translation not available	0	0	0	0	0	0	0	7	0	0
Förtryck 	Translation not available	0	0	0	0	0	0	0	0	0	0
Glömt 	Translation not available	0	0	0	0	0	0	0	0	0	0
Gnäll	Translation not available	0	0	0	0	0	0	0	0	0	0
Gruppera människor utefter färg, utseende	Translation not available	0	0	0	0	0	0	0	0	0	0
Gruppering	Translation not available	0	0	0	0	0	0	0	0	0	0
Gruppering av människor baserat på hudfärg	Translation not available	0	0	0	0	0	0	0	7	0	0
Gruppering baserat på ras/etnicitet	Translation not available	0	0	0	0	0	0	0	7	0	0
Hemskt 	Translation not available	0	0	0	0	0	0	0	0	0	0
Hudfärg	Translation not available	0	0	0	0	0	0	0	0	0	0
Hudfärg	Translation not available	0	0	0	0	0	0	0	0	0	0
Hudfärg 	Translation not available	0	0	0	0	0	0	0	0	0	0
Hudfärg och kultur 	Translation not available	0	0	0	0	0	0	0	0	0	0
Hur man grupperar människor 	Translation not available	0	0	0	0	0	5	0	0	0	0
Hur man identifierar sin etnicitet	Translation not available	0	0	0	0	0	0	0	0	0	0
Hur människan uppfattar olika folkgrupper.	Translation not available	0	0	0	0	0	5	0	0	0	0
Hur människor placeras i olika fack för etnicitet, kultur, hudfärg osv	Translation not available	0	0	0	0	0	0	0	7	0	0
Hur ras uppfattas av andra 	Translation not available	0	0	0	0	0	0	0	7	0	0
Identifiering baserad kring hudfärg och kulturell tillhörighet.	Translation not available	0	0	0	0	0	0	0	7	0	0
Indelning	Translation not available	0	0	0	0	0	0	0	0	0	0
Indelning 	Translation not available	0	0	0	0	0	0	0	0	0	0
Inget	Translation not available	0	0	0	0	0	0	0	0	0	0
Inget	Translation not available	0	0	0	0	0	0	0	0	0	0
Inget	Translation not available	0	0	0	0	0	0	0	0	0	0
Inget	Translation not available	0	0	0	0	0	0	0	0	0	0
Inget	Translation not available	0	0	0	0	0	0	0	0	0	0
Inget	Translation not available	0	0	0	0	0	0	0	0	0	0
Inget	Translation not available	0	0	0	0	0	0	0	0	0	0
Inget speciellt 	Translation not available	0	0	0	0	0	0	0	0	0	0
Inramning	Translation not available	0	0	0	0	0	0	0	0	0	0
Inte	Translation not available	0	0	0	0	0	0	0	0	0	0
inte mkt	Translation not available	0	0	0	0	0	0	0	0	0	0
Inte mycket, ett politiskt slagträ, men jag tror folk vill mena att någon blir påfädyvlad fördomar utifrån hur de ser ut..	Translation not available	0	0	0	0	0	0	0	0	0	0
Inte något	Translation not available	0	0	0	0	0	0	0	0	0	0
Inte något viktigt 	Translation not available	0	0	0	0	0	0	0	0	0	0
Inte vit	Translation not available	0	0	0	0	0	0	0	0	0	0
Ja	Translation not available	0	0	0	0	0	0	0	0	0	0
Jag använder inte det ordet. Jag vet vad det har för ursprunglig betydelse och hur det ibland felaktigt används för att beskriva personer som har märkare hudfärg.	Translation not available	0	0	0	0	0	5	0	7	0	0
"Jag tycker inte om att använda ordet ""ras"", alla är människor "	Translation not available	0	0	0	0	0	0	0	7	0	0
Jag vet inte	Translation not available	0	0	0	0	0	0	0	0	0	0
Jag vet inte vad det betyder	Translation not available	0	0	0	0	0	0	0	0	0	0
kategorisera männinsor utifrån utseende	Translation not available	0	0	0	0	0	0	0	0	0	0
Kategorisera raser	Translation not available	0	0	0	0	0	0	0	7	0	0
Kategorisering 	Translation not available	0	0	0	0	0	0	0	0	0	0
Kategorisering av individer som kan ha en negativ effekt	Translation not available	0	0	0	0	0	0	0	0	0	0
Kategorisering av människor baserat på deras etnicitet 	Translation not available	0	0	0	0	0	0	0	7	0	0
Klassificering av människor på grund av hudfärg 	Translation not available	0	0	0	0	0	0	0	7	0	0
Klassificering av personer utifrån ras	Translation not available	0	0	0	0	0	5	0	7	0	0
Koppla saker i samhället till ras och ibland undgå andra orsaker till att ett problem uppstått som konsekvens av rasifiering	Translation not available	0	0	0	0	0	0	0	7	0	0
Kunskap om kulturella skillnader	Translation not available	0	0	0	0	0	0	0	0	0	0
Labeling personer baserat på deras bakgrund, etnictet osv. 	Translation not available	0	0	0	0	0	5	0	7	0	0
Liknande etnicitet	Translation not available	0	0	0	0	0	0	0	0	0	0
Lite 	Translation not available	0	0	0	0	0	0	0	0	0	0
Man delar upp folk, lägger värdering/rankar vilken etnisk tillhörighet som är den bästa	Translation not available	0	0	0	0	0	0	0	0	0	0
Man delas in efter sin etnicitet 	Translation not available	0	0	0	0	0	0	0	0	0	0
Minoriteter, hudfärg och förtryck av	Translation not available	0	0	0	0	0	0	0	7	0	0
Minoritetsras synlig på hudfärg	Translation not available	0	0	0	0	0	0	0	7	0	0
Något som ska försvinna.	Translation not available	0	0	0	0	0	0	0	0	0	0
När man ser folks etnicitet	Translation not available	0	0	0	0	0	0	0	0	0	0
När människor stämplas med stereotyper efter etnicitet, ras eller nationalitet.	Translation not available	0	0	0	0	0	0	0	7	0	0
Negativ åtskillnad mellan människor och människor	Translation not available	0	0	0	0	0	0	0	0	0	0
Negativ klang	Translation not available	0	0	0	0	0	0	0	0	0	0
Negativ klang 	Translation not available	0	0	0	0	0	0	0	0	0	0
Negativ klang att folk av utomeuropeisk bakgrund är utsatta 	Translation not available	0	0	0	0	0	0	0	0	0	0
Negativt ord som delar upp folk efter hudfärg	Translation not available	0	0	0	0	0	0	0	7	0	0
Nej	Translation not available	0	0	0	0	0	0	0	0	0	0
Nothing 	Translation not available	0	0	0	0	0	0	0	0	0	0
ojämlikhet mellan ethniciteter	Translation not available	0	0	0	0	0	0	0	0	0	0
Oklart	Translation not available	0	0	0	0	0	0	0	0	0	0
Olikabehandling pga ras	Translation not available	0	0	0	0	0	0	0	7	0	0
Olycka	Translation not available	0	0	0	0	0	0	0	0	0	0
Orättfärdig behandling/bemötande baserat på etnicitet 	Translation not available	0	0	0	0	0	0	0	0	0	0
Orättvist	Translation not available	0	0	0	0	0	0	0	0	0	0
Orättvist och felbehandling pga etnicitet 	Translation not available	0	0	0	0	0	0	0	0	0	0
"Personer av samma ""ras"" har ett liknande historiskt ursprung."	Translation not available	0	0	0	0	0	0	0	7	0	0
placera in människor i olika raser.	Translation not available	0	0	0	0	0	0	0	7	0	0
Placera människor i vissa kategorier pga deras färg	Translation not available	0	0	0	0	0	0	0	7	0	0
Problematiskt	Translation not available	0	0	0	0	0	0	0	0	0	0
Racism	Translation not available	0	0	0	0	0	0	0	0	0	0
Ras behandling 	Translation not available	0	0	0	0	0	0	0	0	0	0
Rasifiering är att man delar upp människor i grupper beroende på hudfärg och etnicitet ville är fel i mitt tycke	Translation not available	0	0	0	0	0	5	0	7	0	0
Rasism	Translation not available	0	0	0	0	0	0	0	0	0	0
Rasism	Translation not available	0	0	0	0	0	0	0	0	0	0
Rasism 	Translation not available	0	0	0	0	0	0	0	0	0	0
Rasist	Translation not available	0	0	0	0	0	0	0	0	0	0
Särskilja folk genom deras ras	Translation not available	0	0	0	0	0	0	0	7	0	0
Särskilja olika etniska grupper 	Translation not available	0	0	0	0	0	5	0	0	0	0
Särskiljande på människor utifrån fördomar	Translation not available	0	0	0	0	0	0	0	0	0	0
Sätta folk i olika grupper utifrån hudfärg	Translation not available	0	0	0	0	0	5	0	7	0	0
Sättas i en låda	Translation not available	0	0	0	0	0	0	0	0	0	0
Segregation 	Translation not available	0	0	0	0	0	0	0	0	0	0
Segregering efter hudfärg bl.a.	Translation not available	0	0	0	0	0	0	0	7	0	0
segregering utifrån ras	Translation not available	0	0	0	0	0	0	0	7	0	0
Segregering, kategorisering pågrund av förutfattade meningar om en ras	Translation not available	0	0	0	0	0	0	0	7	0	0
Skilja på grupper med olika färg	Translation not available	0	0	0	0	0	5	0	0	0	0
Splittring	Translation not available	0	0	0	0	0	0	0	0	0	0
Stagnation	Translation not available	0	0	0	0	0	0	0	0	0	0
Svårt	Translation not available	0	0	0	0	0	0	0	0	0	0
Systemet där vissa påverkas pga sin etnicitet 	Translation not available	0	0	0	0	0	0	0	0	0	0
Uppdelning	Translation not available	0	0	0	0	0	0	0	0	0	0
Uppdelning av etnicitet 	Translation not available	0	0	0	0	0	0	0	0	0	0
Uppdelning av människor	Translation not available	0	0	0	0	0	0	0	0	0	0
Uppdelning baserat på fördomar	Translation not available	0	0	0	0	0	0	0	0	0	0
Utanförskap 	Translation not available	0	0	0	0	0	0	0	0	0	0
Vad man stämmer ifrån	Translation not available	0	0	0	0	0	0	0	0	0	0
Väldigt viktigt 	Translation not available	0	0	0	0	0	0	0	0	0	0
Vänster modeord (buzzword)	Translation not available	0	0	0	0	0	0	0	0	0	0
Var man är född	Translation not available	0	0	0	0	0	0	0	0	0	0
Variation 	Translation not available	0	0	0	0	0	0	0	0	0	0
Vet ej	Translation not available	0	0	0	0	0	0	0	0	0	0
Vet ej	Translation not available	0	0	0	0	0	0	0	0	0	0
Vet ej	Translation not available	0	0	0	0	0	0	0	0	0	0
Vet ej	Translation not available	0	0	0	0	0	0	0	0	0	0
Vet ej	Translation not available	0	0	0	0	0	0	0	0	0	0
Vet ej	Translation not available	0	0	0	0	0	0	0	0	0	0
Vet ej	Translation not available	0	0	0	0	0	0	0	0	0	0
Vet ej 	Translation not available	0	0	0	0	0	0	0	0	0	0
Vet inte	Translation not available	0	0	0	0	0	0	0	0	0	0
Vet inte	Translation not available	0	0	0	0	0	0	0	0	0	0
Vet inte	Translation not available	0	0	0	0	0	0	0	0	0	0
Vet inte	Translation not available	0	0	0	0	0	0	0	0	0	0
Vet inte	Translation not available	0	0	0	0	0	0	0	0	0	0
vet inte 	Translation not available	0	0	0	0	0	0	0	0	0	0
Vet inte 	Translation not available	0	0	0	0	0	0	0	0	0	0
Vet inte 	Translation not available	0	0	0	0	0	0	0	0	0	0
Vet inte riktigt	Translation not available	0	0	0	0	0	0	0	0	0	0
Vet ej	Translation not available	0	0	0	0	0	0	0	0	0	0
Vilken ras man klassas som	Translation not available	0	0	0	0	0	0	0	7	0	0
Vilken ras människor tillhör.	Translation not available	0	0	0	0	0	0	0	7	0	0
